URL that gets  404,Response Code,News Error,Detected,Category,Platform,Last crawled,URL to redirect to
http://www.meadowmere.com/contact-m,404,,9/6/2015,Not found,Desktop,9/16/2015,http://www.meadowmere.com/contact
http://www.meadowmere.com/mobile/mobile/specials-packages-m,404,,9/9/2015,Not found,Desktop,9/9/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/mobile/about-m,404,,9/14/2015,Not found,Desktop,9/14/2015,http://www.meadowmere.com/about-2
http://www.meadowmere.com/about-2?page=about.html,404,,1/15/2015,Not found,Desktop,8/3/2015,http://www.meadowmere.com/about-2
http://www.meadowmere.com/index.php&page=home?page=public,404,,9/27/2015,Not found,Desktop,9/27/2015,http://www.meadowmere.com/
http://www.meadowmere.com/sites-events/transportation/taxis-and-limos?page=taxis_and_limousines.html,404,,7/11/2015,Not found,Desktop,7/16/2015,http://www.meadowmere.com/local-attractions/transportation/taxis-and-limos
http://www.meadowmere.com/specials-packages-m,404,,9/8/2015,Not found,Desktop,9/8/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/about/west-meadow-pub?page=West_Meadow_Pub.html,404,,1/24/2015,Not found,Desktop,8/8/2015,http://www.meadowmere.com/about/west-meadow-pub
http://www.meadowmere.com/about/health-club-spa-overview/spa-services?page=Salon_Services.html,404,,9/23/2015,Not found,Desktop,9/23/2015,http://www.meadowmere.com/about/health-club-spa-overview/spa-services
http://www.meadowmere.com/calendar/313/mobile/mobile/contact-m,404,,9/7/2015,Not found,Desktop,9/7/2015,http://www.meadowmere.com/contact
http://www.meadowmere.com/sites-events/activities-in-ogunquit/places-to-go?page=ogunquit_beach.html,404,,1/25/2015,Not found,Desktop,7/12/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit/places-to-go
http://www.meadowmere.com/specials-packagesOgunquit_Playhouse_Package.html?page=Packages___Specials/Ogunquit_Playhouse_Package.html,404,,9/19/2014,Not found,Desktop,7/13/2015,http://www.meadowmere.com/specials-packages/unique-specials/ogunguit-playhouse
http://www.meadowmere.com/sites-events/activities-in-ogunquit/places-to-go?page=perkins_cove.html,404,,1/26/2015,Not found,Desktop,7/9/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit/places-to-go
http://www.meadowmere.com/full-site,404,,9/1/2015,Not found,Desktop,9/1/2015,http://www.meadowmere.com/
http://www.meadowmere.com/about/resort-amenities-overview/gathering-areas?page=about/resort-amenities-overview/featured-rooms&page=about/rooms-amenities/resort-amenities-overview/featured-rooms,404,,1/17/2015,Not found,Desktop,7/12/2015,http://www.meadowmere.com/about/resort-amenities-overview/gathering-areas
http://www.meadowmere.com/sites-events/activities-in-ogunquit/places-to-go?page=Perkins_Cove.html,404,,2/8/2015,Not found,Desktop,7/23/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit/places-to-go
http://www.meadowmere.com/about/resort-amenities-overview/pools,404,,10/1/2015,Not found,Desktop,10/1/2015,http://www.meadowmere.com/about/resort-amenities-overview/pools-jacuzzis
http://www.meadowmere.com/mobile/specials-packages/holiday-packages/holiday-escapes/mother-s-day-2,404,,4/23/2015,Not found,Desktop,8/7/2015,http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/mother-s-day
http://www.meadowmere.com/specials-packagesLabor_Day_Dining_Package.html?page=Packages___Specials/Labor_Day_Dining_Package.html,404,,9/7/2014,Not found,Desktop,7/12/2015,http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/labor-day
http://www.meadowmere.com/sites-events/activities-in-ogunquit?page=visitor_resources.html,404,,1/26/2015,Not found,Desktop,7/9/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit
http://www.meadowmere.com/specials-packagesMother_s_Day_Ogunquit_Package.html?page=Packages___Specials/Mother_s_Day_Ogunquit_Package.html,404,,9/30/2014,Not found,Desktop,7/15/2015,http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/mother-s-day
http://www.meadowmere.com/specials-packagesRocky_Road___Roses_in_Ogunquit.html?page=Packages___Specials/Rocky_Road___Roses_in_Ogunquit.html,404,,9/16/2014,Not found,Desktop,7/9/2015,This festival does not exist anymore. So either redirect or http://www.meadowmere.com/specials-packages/family
http://www.meadowmere.com/about/resort-amenities-overview/pools-jacuzzis?page=pools_and_jacuzzis.html,404,,8/12/2015,Not found,Desktop,8/12/2015,http://www.meadowmere.com/about/resort-amenities-overview/pools-jacuzzis
http://www.meadowmere.com/about/rooms-suites-overview?page=rooms_and_suites.html,404,,7/14/2015,Not found,Desktop,7/16/2015,http://www.meadowmere.com/about/rooms-suites-overview
http://www.meadowmere.com/specials-packagesChristmas_Prelude___Festival_by_the_Sea.html?page=Packages___Specials/Christmas_Prelude___Festival_by_the_Sea.html,404,,10/5/2014,Not found,Desktop,7/8/2015,http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/christmas-2
http://www.meadowmere.com/privacy?page=Privacy_Policy.html,404,,7/29/2015,Not found,Desktop,8/1/2015,http://www.meadowmere.com/privacy
http://www.meadowmere.com/sites-events/planning-a-special-event-overview/weddings?page=maine_weddings.html,404,,1/19/2015,Not found,Desktop,7/13/2015,http://www.meadowmere.com/sites-events/weddings
http://www.meadowmere.com/about/health-club-spa,404,,9/10/2015,Not found,Desktop,9/10/2015,http://www.meadowmere.com/about/health-club-spa-overview
http://www.meadowmere.com/sites-events/activities-in-ogunquit/restaurants?page=ogunquit_restaurants.html,404,,1/26/2015,Not found,Desktop,7/10/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit/restaurants
http://www.meadowmere.com/specials-packages/mind-body,404,,9/13/2015,Not found,Desktop,9/13/2015,http://www.meadowmere.com/specials-packages/mind-body-spirit-spa
http://www.meadowmere.com/specials-packages/eat,404,,9/21/2015,Not found,Desktop,9/21/2015,http://www.meadowmere.com/specials-packages/eat-drink-be-merry
http://www.meadowmere.com/specials-packages/holiday-packages?page=specials-packagesvacation_specials.html,404,,4/27/2015,Not found,Desktop,7/22/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/news-press/e-newsletter?page=public/index.cfm&fuseaction=prodbrws.publicdetail&productid=40931,404,,1/16/2015,Not found,Desktop,7/14/2015,http://www.meadowmere.com/news-press/e-newsletter
http://www.meadowmere.com/sites-events/activities-in-ogunquit/art-and-antiques?page=ogunquit_arts_and_antiques.html,404,,1/21/2015,Not found,Desktop,7/10/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit/art-and-antiques 
http://www.meadowmere.com/about/resort-amenities-overview/pools-jacuzzis?page=Outdoor_Jacuzzi.html,404,,1/17/2015,Not found,Desktop,7/8/2015,http://www.meadowmere.com/about/resort-amenities-overview/pools-jacuzzis
http://www.meadowmere.com/contact?page=contact_us.html,404,,7/11/2015,Not found,Desktop,7/16/2015,http://www.meadowmere.com/contact
http://www.meadowmere.com/specials-packages/holiday-packages/school,404,,9/1/2015,Not found,Desktop,9/1/2015,http://www.meadowmere.com/specials-packages/family
http://www.meadowmere.com/sites-events/activities-in-ogunquit/places-to-go?page=ogunquit.html,404,,1/26/2015,Not found,Desktop,7/9/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit/places-to-go
http://www.meadowmere.com/about/west,404,,9/16/2015,Not found,Desktop,9/16/2015,http://www.meadowmere.com/about/west-meadow-pub
http://www.meadowmere.com/specials-packages/unique-specials/om-foam-surf,404,,9/14/2015,Not found,Desktop,9/14/2015,http://www.meadowmere.com/specials-packages/unique-specials/om-foam-surf-getaway
http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/columbus-day,404,,8/26/2015,Not found,Desktop,8/26/2015,http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/columbus-day-weekend-2
http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/columbus,404,,8/19/2015,Not found,Desktop,8/19/2015,http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/columbus-day-weekend-2
http://www.meadowmere.com/specials-packagesindex.html?page=Packages___Specials/index.html,404,,8/19/2015,Not found,Desktop,8/19/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/news-press?page=news.html,404,,7/11/2015,Not found,Desktop,7/14/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/news-press/e-newsletter?page=public/index.cfm&timeout=1&CFID=91285&CFTOKEN=28381365,404,,6/2/2015,Not found,Desktop,7/14/2015,http://www.meadowmere.com/news-press/e-newsletter
http://www.meadowmere.com/news-press/e-newsletter?page=public/index.cfm&fuseaction=prodbrws.publicdetail&productid=69580,404,,6/2/2015,Not found,Desktop,7/14/2015,http://www.meadowmere.com/news-press/e-newsletter
http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/labor-day?page=specials-packageslabor_day.html&page=Packages___Specials/labor_day.html,404,,7/11/2015,Not found,Desktop,7/16/2015,http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/labor-day
http://www.meadowmere.com/sites-events/activities-in-ogunquit/places-to-go?page=ogunquit_beach.html,404,,1/23/2015,Not found,Feature phone,8/20/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit/places-to-go
http://www.meadowmere.com/sites-events/events-in-ogunquit?page=ogunquit_events.html,404,,1/23/2015,Not found,Feature phone,8/20/2015,http://www.meadowmere.com/local-attractions/events-in-ogunquit
http://www.meadowmere.com/calendar/313/privacy-policy,404,,9/15/2015,Not found,Feature phone,9/17/2015,http://www.meadowmere.com/privacy
http://www.meadowmere.com/calendar/313/specials-packages-m,404,,9/21/2015,Not found,Feature phone,9/24/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/mobile/mobile/about-m,404,,9/17/2015,Not found,Feature phone,9/17/2015,http://www.meadowmere.com/about-2
http://www.meadowmere.com/sites-events/activities-in-ogunquit/places-to-go?page=perkins_cove.html,404,,1/23/2015,Not found,Feature phone,8/20/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit/places-to-go
http://www.meadowmere.com/mobile/environmental-policy-2,404,,10/3/2015,Not found,Feature phone,10/3/2015,http://www.meadowmere.com/environmental-policy
http://www.meadowmere.com/calendar/313/contact-m,404,,9/11/2015,Not found,Feature phone,9/12/2015,http://www.meadowmere.com/contact
http://www.meadowmere.com/mobile/mobile/mobile/specials-packages-m,404,,10/3/2015,Not found,Feature phone,10/5/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/mobile/contact-m,404,,9/8/2015,Not found,Feature phone,9/8/2015,http://www.meadowmere.com/contact
http://www.meadowmere.com/mobile/mobile/specials-packages-m,404,,9/25/2015,Not found,Feature phone,9/28/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/mobile/mobile/mobile/about-m,404,,9/19/2015,Not found,Feature phone,9/20/2015,http://www.meadowmere.com/about-2
http://www.meadowmere.com/environmental-policy-2,404,,9/28/2015,Not found,Feature phone,9/29/2015,http://www.meadowmere.com/environmental-policy
http://www.meadowmere.com/mobile/privacy-policy,404,,9/12/2015,Not found,Feature phone,9/12/2015,http://www.meadowmere.com/privacy
http://www.meadowmere.com/calendar/313/mobile/privacy-policy,404,,9/21/2015,Not found,Feature phone,9/22/2015,http://www.meadowmere.com/privacy
http://www.meadowmere.com/calendar/313/mobile/mobile/about-m,404,,9/24/2015,Not found,Feature phone,9/25/2015,http://www.meadowmere.com/about-2
http://www.meadowmere.com/calendar/313/mobile/specials-packages-m,404,,9/30/2015,Not found,Feature phone,10/2/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/sites-events/activities-in-ogunquit?page=visitor_resources.html,404,,1/23/2015,Not found,Feature phone,8/20/2015,http://www.meadowmere.com/local-attractions
http://www.meadowmere.com/mobile/specials-packages-m,404,,9/18/2015,Not found,Feature phone,9/18/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/mobile/mobile/privacy-policy,404,,9/18/2015,Not found,Feature phone,9/19/2015,http://www.meadowmere.com/privacy
http://www.meadowmere.com/specials-packages/unique-specials/summer-stay-free,404,,9/10/2015,Not found,Feature phone,9/12/2015,Leave - this package gets turned on Jan - May/ off rest of year and can go to the redirect page
http://www.meadowmere.com/specials-packages-m,404,,9/14/2015,Not found,Feature phone,9/17/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/specials-packagesJuly_4th_Celebrations_in_Ogunquit.html?page=Packages___Specials/July_4th_Celebrations_in_Ogunquit.html,404,,9/20/2014,Not found,Feature phone,8/16/2015,http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/4th-of-july-3
http://www.meadowmere.com/sites-events/activities-in-ogunquit/restaurants?page=ogunquit_restaurants.html,404,,1/23/2015,Not found,Feature phone,8/20/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit/restaurants
http://www.meadowmere.com/sites-events/activities-in-ogunquit/art-and-antiques?page=ogunquit_arts_and_antiques.html,404,,1/23/2015,Not found,Feature phone,8/20/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit/art-and-antiques
http://www.meadowmere.com/sites-events/ogunquit-history?page=ogunquit_heritage.html,404,,1/23/2015,Not found,Feature phone,8/20/2015,http://www.meadowmere.com/local-attractions/ogunquit-history
http://www.meadowmere.com/sites-events/activities-in-ogunquit/night-life?page=ogunquit_night_life.html,404,,1/23/2015,Not found,Feature phone,8/20/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit/night-life
http://www.meadowmere.com/calendar/313/environmental-policy-2,404,,10/5/2015,Not found,Feature phone,10/5/2015,http://www.meadowmere.com/environmental-policy
http://www.meadowmere.com/Packages___Specials/Ogunquit_Dining_Package.html,404,,10/3/2015,Not found,Smartphone,10/3/2015,http://www.meadowmere.com/specials-packages/eat-drink-be-merry
http://www.meadowmere.com/sites-events/activities-in-ogunquit/places-to-go?page=Main_Street_Ogunquit.html,404,,3/12/2015,Not found,Smartphone,8/31/2015,http://www.meadowmere.com/local-attractions/activities-in-ogunquit/shopping
http://www.meadowmere.com/calendar/313/contact-m,404,,9/13/2015,Not found,Smartphone,9/13/2015,http://www.meadowmere.com/contact
http://www.meadowmere.com/about/health-club-spa-overview/gym/lifefitness-equipment?page=fitness_equipment.html,404,,9/24/2015,Not found,Smartphone,9/26/2015,http://www.meadowmere.com/about/health-club-spa-overview/gym
http://www.meadowmere.com/mobile/contact-m,404,,9/9/2015,Not found,Smartphone,9/9/2015,http://www.meadowmere.com/contact
http://www.meadowmere.com/about/rooms-suites-overview/honeymoon-suites?page=Honeymoon_Suites.html,404,,5/4/2015,Not found,Smartphone,8/31/2015,http://www.meadowmere.com/specials-packages/romantic-honeymoon-getaway
http://www.meadowmere.com/calendar/313/specials-packages-m,404,,9/22/2015,Not found,Smartphone,9/22/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/mobile/privacy-policy,404,,9/14/2015,Not found,Smartphone,9/14/2015,http://www.meadowmere.com/privacy
http://www.meadowmere.com/calendar/313/sign-up-for-our-newsletter,404,,9/17/2015,Not found,Smartphone,9/17/2015,http://www.meadowmere.com/newsletter-signup-form
http://www.meadowmere.com/calendar/313/privacy-policy,404,,9/14/2015,Not found,Smartphone,9/14/2015,http://www.meadowmere.com/privacy
http://www.meadowmere.com/mobile/mobile/mobile/about-m,404,,9/18/2015,Not found,Smartphone,9/18/2015,http://www.meadowmere.com/about-2
http://www.meadowmere.com/specials-packages/unique-specials/girlfriend-getaway?page=specials-packagesgirlfriend_getaways.html&page=Packages___Specials/girlfriend_getaways.html,404,,2/2/2015,Not found,Smartphone,8/31/2015,http://www.meadowmere.com/specials-packages/unique-specials/girlfriend-getaway
http://www.meadowmere.com/mobile/about-m/mobile/environmental-policy-2,404,,9/18/2015,Not found,Smartphone,9/18/2015,http://www.meadowmere.com/environmental-policy
http://www.meadowmere.com/news-press/e-newsletter?page=public/index.cfm,404,,9/30/2015,Not found,Smartphone,10/3/2015,http://www.meadowmere.com/news-press/e-newsletter
http://www.meadowmere.com/mobile/about-m/mobile/about-m,404,,9/22/2015,Not found,Smartphone,9/22/2015,http://www.meadowmere.com/about-2
http://www.meadowmere.com/mobile/about-m/environmental-policy-2,404,,9/17/2015,Not found,Smartphone,9/17/2015,http://www.meadowmere.com/environmental-policy
http://www.meadowmere.com/mobile/about-m/privacy-policy,404,,9/20/2015,Not found,Smartphone,9/20/2015,http://www.meadowmere.com/privacy
http://www.meadowmere.com/mobile/about-m/sign-up-for-our-newsletter,404,,9/18/2015,Not found,Smartphone,9/18/2015,http://www.meadowmere.com/newsletter-signup-form
http://www.meadowmere.com/mobile/specials-packages-m,404,,9/20/2015,Not found,Smartphone,9/20/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/sites-events/planning-a-group-tour?page=Group_Tours.html,404,,9/27/2015,Not found,Smartphone,10/5/2015,http://www.meadowmere.com/sites-events/planning-a-group-tour
http://www.meadowmere.com/about/resort-amenities-overview/pools-jacuzzis?page=roman_bath.html,404,,9/27/2015,Not found,Smartphone,10/5/2015,http://www.meadowmere.com/about/resort-amenities-overview/pools-jacuzzis
http://www.meadowmere.com/index.php&page=home/?page=undefined/,404,,9/16/2015,Not found,Smartphone,10/5/2015,http://www.meadowmere.com/
http://www.meadowmere.com/policies/environmental-policy?page=Environmental_Policy.html,404,,9/29/2015,Not found,Smartphone,10/4/2015,http://www.meadowmere.com/environmental-policy
http://www.meadowmere.com/about-2/environmental-leader?page=Environmental_Leadership.html,404,,9/29/2015,Not found,Smartphone,10/2/2015,http://www.meadowmere.com/about-2/environmental-leader
http://www.meadowmere.com/mobile/about-m/specials-packages-m,404,,9/29/2015,Not found,Smartphone,9/29/2015,http://www.meadowmere.com/specials-packages
http://www.meadowmere.com/mobile/about-m/mobile/privacy-policy,404,,9/24/2015,Not found,Smartphone,9/24/2015,http://www.meadowmere.com/privacy
http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/new-year-s-eve-by-the-sea-2?page=Packages___Specials/new_years.html,404,,9/30/2015,Not found,Smartphone,10/4/2015,http://www.meadowmere.com/specials-packages/holiday-packages/holiday-escapes/new-year-s-eve-by-the-sea-2
http://www.meadowmere.com/specials-packages/unique-specials/girlfriend-getaway?page=Packages___Specials/girlfriend_getaways.html,404,,10/2/2015,Not found,Smartphone,10/5/2015,http://www.meadowmere.com/specials-packages/unique-specials/girlfriend-getaway
http://www.meadowmere.com/mobile/mobile/mobile/contact-m,404,,9/15/2015,Not found,Smartphone,9/15/2015,http://www.meadowmere.com/contact
http://www.meadowmere.com/sites-events/transportation/trolley-service?page=Trolley_Service.html,404,,9/24/2015,Not found,Smartphone,9/26/2015,http://www.meadowmere.com/local-attractions/transportation/trolley-service
http://www.meadowmere.com/mobile/about-m/mobile/contact-m,404,,9/15/2015,Not found,Smartphone,9/15/2015,http://www.meadowmere.com/contact
http://www.meadowmere.com/about/west-meadow-pub?page=west_meadow_pub.html,404,,5/3/2015,Not found,Smartphone,8/31/2015,http://www.meadowmere.com/about/west-meadow-pub
http://www.meadowmere.com/specials-packages/unique-specials?page=specials-packages/unique-specials/skys-the-limit-escape,404,,3/16/2015,Not found,Smartphone,8/31/2015,This  does not exist anymore. So either redirect or http://www.meadowmere.com/specials-packages/active
http://www.meadowmere.com/mobile/about-m/contact-m,404,,9/14/2015,Not found,Smartphone,9/14/2015,http://www.meadowmere.com/contact
http://www.meadowmere.com/sites-events/planning-a-special-event-overview/weddings?page=Weddings_and_Events.html,404,,4/12/2015,Not found,Smartphone,8/31/2015,http://www.meadowmere.com/sites-events/weddings
http://www.meadowmere.com/reservations?page=modify_reservation.html,404,,4/27/2015,Not found,Smartphone,8/31/2015,http://www.meadowmere.com/reservations/modify-a-reservation
http://www.meadowmere.com/specials-packages/unique-specials/om-foam-surf-getaway?page=specials-packagessurf.html&page=Packages___Specials/surf.html,404,,5/5/2015,Not found,Smartphone,8/31/2015,http://www.meadowmere.com/specials-packages/unique-specials/om-foam-surf-getaway
http://www.meadowmere.com/specials-packages?page=Ogunquit_Vacation_Deals.html,404,,8/15/2015,Not found,Smartphone,8/16/2015,http://www.meadowmere.com/specials-packages/offers
http://www.meadowmere.com/about/resort-amenities-overview/gathering-areas?page=TV_Room.html,404,,9/27/2015,Not found,Smartphone,10/5/2015,http://www.meadowmere.com/about/resort-amenities-overview/gathering-areas
http://www.meadowmere.com/calendar/313/mobile/mobile/index.php,404,,7/18/2015,Not found,Smartphone,7/20/2015,http://www.meadowmere.com/local-attractions/events-in-ogunquit
http://www.meadowmere.com/sites-events/ogunquit,404,,7/8/2015,Not found,Smartphone,7/9/2015,http://www.meadowmere.com/local-attractions/events-in-ogunquit
